label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,1-1-5736,1-1-5741,1-1-5786,1-1-5787,1-1-5789
,783,786,0,189.066879,4.051,0.051801,,C13-label-3,trans-3-Indoleacrylic acid,trans-3-Indoleacrylic acid,C11H9NO2,1.091,4.035305,186.055939,22195.76,13127.08,23714.91,18716.35,19712.30
,783,787,0,194.082153,4.088,0.065179,,C13-label-8,trans-3-Indoleacrylic acid,trans-3-Indoleacrylic acid,C11H9NO2,1.128,3.773758,186.055939,15018.98,14998.70,6820.50,23083.38,29144.09
,788,788,2,186.076920,12.730,0.785469,[M-H]-,C12 PARENT,dimethyl (R)-pyrrolidine-1-2-dicarboxylate,dimethyl (R)-pyrrolidine-1-2-dicarboxylate,C8H13NO4,1.568,1.394042,186.076920,7208.80,7126.44,3923.31,3929.84,5808.05
,788,789,0,188.083008,13.006,0.096231,,C13-label-2,dimethyl (R)-pyrrolidine-1-2-dicarboxylate,dimethyl (R)-pyrrolidine-1-2-dicarboxylate,C8H13NO4,1.844,4.705399,186.076920,0.00,4630.32,0.00,0.00,0.00
,790,790,3,186.113480,4.097,0.846602,[M-H]-,C12 PARENT,N-Heptanoylglycine,N-Heptanoylglycine,C9H17NO3,1.026,0.491919,186.113480,92275.90,115147.97,56791.39,81390.66,115285.50
,790,791,0,187.116943,4.111,0.057268,,C13-label-1,N-Heptanoylglycine,N-Heptanoylglycine,C9H17NO3,1.040,0.163094,186.113480,3506.56,3483.78,0.00,0.00,2828.28
,792,792,2,186.113434,10.221,0.821593,[M-H]-,C12 PARENT,8-Amino-7-oxononanoic acid,8-Amino-7-oxononanoic acid,C9H17NO3,1.023,0.737878,186.113434,5703.95,3724.20,9304.70,7762.62,5872.02
,793,793,5,450.262787,4.475,0.849969,[M-H]-,C12 PARENT,LysoPE(16:1),LysoPE(16:1),C21H42NO7P,1.350,0.406664,450.262787,74984.69,58203.92,102023.37,40803.42,53116.94
,793,794,0,451.266296,4.470,0.289481,,C13-label-1,LysoPE(16:1),LysoPE(16:1),C21H42NO7P,1.345,0.676266,450.262787,6267.56,8465.65,9195.56,4742.54,7176.68
,795,795,2,198.059235,2.695,0.826036,[M-H]-,C12 PARENT,N-Ethyl-4-methylbenzenesulfonamide isomer,N-Ethyl-4-methylbenzenesulfonamide isomer,C9H13NO2S,0.010,0.924498,198.059235,27084.19,5851.30,10855.91,3353.43,22811.16
,796,796,1,198.113464,4.102,0.541846,[M-H]-,C12 PARENT,2-octenoylglycine isomer,2-octenoylglycine isomer,C10H17NO3,1.040,0.539143,198.113464,41304.11,67080.90,39336.05,60985.93,67204.91
,797,797,2,198.113464,4.102,0.548414,[M-H]-,C12 PARENT,2-octenoylglycine,2-octenoylglycine,C10H17NO3,0.099,0.539143,198.113464,41304.11,67080.90,39336.05,60985.93,67204.91
,798,798,5,199.170197,2.392,0.821808,[M-H]-,C12 PARENT,Laurate,Laurate,C12H24O2,0.208,0.766118,199.170197,1846261.62,29712654.00,2577293.75,3595960.00,1556482.00
,798,799,1,200.173584,2.397,0.607831,,C13-label-1,Laurate,Laurate,C12H24O2,0.203,0.609822,199.170197,288604.00,3957598.75,370345.28,413756.09,199782.86
,798,800,1,201.176910,2.401,0.594192,,C13-label-2,Laurate,Laurate,C12H24O2,0.199,0.758476,199.170197,0.00,249160.62,0.00,20303.50,0.00
